IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
1.87,1.85,5.06,1.79,0.28,0.13,0.06,4.95,4.17,2.98,3.29,0.55,2.6,3.84,1.79,5.59,2.9,3.77,0.65,2.7,3.37,1.03,1.02,0.0,3.29,0.14,3.76,3.75,2.71,0.06,2.21,0.63,1.64,1.07,0.66,1.16,0.06,3.51
6.87,1.04,0.94,0.36,0.82,0.4,1.14,0.4,0.62,0.71,8.48,0.4,7.75,9.02,1.17,0.72,0.34,8.96,0.98,7.6,7.48,4.65,0.16,0.05,7.27,4.85,8.18,8.25,6.98,0.14,6.59,4.56,0.23,0.01,4.67,4.14,4.06,7.71
0.26,3.66,7.46,3.91,0.02,0.83,0.16,7.3,6.62,1.98,0.82,0.6,0.25,1.37,3.61,7.96,5.04,1.32,0.01,0.59,1.93,0.06,3.23,0.0,0.82,0.02,1.81,1.94,1.24,0.19,1.05,0.0,0.73,0.04,0.08,1.28,0.0,1.7
3.79,3.16,3.77,0.18,0.06,0.03,1.62,3.54,2.52,1.53,5.52,0.38,4.74,6.05,3.1,3.85,0.5,6.03,0.3,4.42,4.3,1.63,0.44,0.01,4.18,1.95,4.99,5.06,3.79,0.01,3.4,1.51,1.19,1.29,1.6,3.22,0.97,4.53
4.6,3.1,2.77,0.03,0.07,0.04,2.5,2.58,1.53,0.65,6.23,0.84,5.49,6.78,3.02,2.89,0.15,6.74,0.06,5.41,5.29,2.49,0.23,0.02,5.19,2.62,5.96,6.04,4.75,0.01,4.35,2.39,0.19,0.33,2.47,2.98,1.98,5.52
3.99,1.19,3.04,1.27,0.01,0.05,1.87,2.87,2.25,2.0,5.23,0.89,4.64,5.79,1.1,3.52,1.25,5.57,0.11,4.81,5.36,2.54,0.78,0.01,5.23,2.0,5.88,5.87,4.71,0.01,4.28,2.46,0.4,1.3,2.53,1.04,1.03,5.6
0.72,4.0,7.04,2.68,0.24,0.69,0.63,6.97,6.02,1.37,2.34,1.37,1.5,2.68,3.95,7.43,3.41,2.81,0.23,1.11,1.2,0.3,1.94,0.0,2.04,0.69,1.63,1.69,0.56,0.01,0.01,0.0,0.46,0.21,0.3,2.76,0.01,1.37
6.81,0.75,0.24,0.61,1.46,0.05,0.76,0.05,0.56,1.66,8.13,0.05,7.52,8.69,0.72,0.64,0.59,8.46,1.74,7.65,7.9,4.98,0.01,0.01,7.93,4.73,8.52,8.61,7.31,0.05,6.9,4.91,0.25,0.05,4.97,2.85,3.39,8.14
4.13,4.69,5.06,0.39,0.05,0.41,1.21,4.4,3.12,1.01,5.93,0.09,5.13,6.36,4.63,4.84,0.38,6.43,0.04,3.91,3.78,0.79,0.95,0.0,3.32,2.79,4.55,4.59,3.45,0.01,3.11,0.69,0.29,1.07,0.8,4.58,0.37,4.0
10.67,0.19,1.15,1.82,5.35,3.35,2.84,0.02,0.02,0.02,11.85,3.35,11.3,12.41,0.19,1.28,1.82,12.09,5.45,11.5,11.82,8.9,0.01,0.0,11.82,8.62,12.43,12.52,11.22,3.35,10.81,8.82,3.3,2.4,8.89,5.86,6.87,12.05
