Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
3.0901592,3.7988584,3.0497167,3.8153436,4.4413486,-0.8009288,4.4009056,-0.784444
2.7899153,4.0156345,2.7463622,4.031038,5.192772,-0.31171724,5.149219,-0.29631445
2.4426508,4.2233195,2.3968349,4.237265,4.7878256,0.90148944,4.7420087,0.91543496
2.0608804,4.395914,2.0140445,4.408141,7.6019855,1.80675,7.5551505,1.818977
1.6290641,4.537417,1.5824417,4.547864,10.127526,3.8274589,10.080903,3.8379061
1.3656629,4.530894,1.3204921,4.5396495,10.934337,4.075955,10.889167,4.08471
1.2017543,4.4051323,1.1591425,4.412465,11.785175,4.0536175,11.742563,4.06095
0.9709933,4.2068253,0.93194735,4.213067,10.03478,4.1958437,9.995732,4.2020864
0.48042706,3.9567575,0.44603992,3.9622462,7.545534,5.3740497,7.511147,5.379538
-0.10729719,3.6482897,-0.13632889,3.6535375,4.5145917,6.178587,4.4855604,6.183835
-0.725735,3.2980516,-0.74919605,3.3037248,1.3429489,6.9164696,1.319488,6.922142
-1.3227116,2.9131775,-1.34071,2.9199781,-1.7573018,5.713092,-1.7753,5.719893
-1.8820686,2.5113952,-1.8949748,2.519993,-2.3265712,4.716602,-2.3394775,4.725199
-2.4149647,2.1129122,-2.423321,2.1238801,-3.0904408,3.7202172,-3.0987976,3.7311852
-2.9310021,1.7341026,-2.9354136,1.7478673,-2.8235295,3.1723363,-2.8279412,3.186101
-3.4580245,1.3957889,-3.4590445,1.4126043,-3.588919,2.8285484,-3.5899389,2.8453636
-3.9972517,1.1233444,-3.9952846,1.1432934,-3.39482,2.2759888,-3.3928533,2.2959378
-4.458007,0.9302014,-4.453238,0.9532206,-6.5162516,1.4167652,-6.5114837,1.4397844
-4.6636925,0.8077221,-4.6560597,0.833649,-5.9756885,0.96416414,-5.9680552,0.9900907
-4.764996,0.7241076,-4.7542043,0.7527368,-6.3589354,-0.35591337,-6.3481436,-0.32728395
-4.8271966,0.6626888,-4.8127613,0.6938365,-7.030385,-1.743188,-7.01595,-1.7120401
-4.869686,0.6155642,-4.851071,0.6491105,-8.318454,-2.2714946,-8.299838,-2.2379482
-4.8988414,0.58168423,-4.8765345,0.6173001,-10.57611,-2.8098097,-10.5538025,-2.7741938
-4.9187903,0.5619863,-4.893371,0.599302,-10.666334,-3.866066,-10.640915,-3.8287504
3.4995847,3.4283383,3.4754202,3.446117,2.3780894,0.6646828,2.3539252,0.6824614
3.50312,3.4332047,3.4764023,3.4509275,2.236251,0.845024,2.2095335,0.86274695
3.478093,3.4648483,3.4482856,3.482537,2.0309987,0.7805142,2.0011911,0.7982029
3.4039924,3.5371158,3.3708446,3.5546587,2.7971673,0.8652429,2.7640195,0.8827857
3.2369435,3.6860049,3.2003698,3.7031567,3.6532145,0.7757822,3.6166406,0.7929343
2.9831889,3.8890202,2.943355,3.9054666,4.6263,0.9452993,4.586467,0.96174556
2.6947606,4.0884304,2.6521947,4.1037407,4.1694694,1.3146863,4.1269035,1.3299971
2.3707876,4.2693996,2.3263626,4.2831492,3.7465045,1.3474823,3.70208,1.3612319
2.0059552,4.4314175,1.9606489,4.4433064,5.4525003,2.1035144,5.407194,2.1154032
1.6667476,4.538326,1.6216465,4.5481887,8.146624,3.8677886,8.101522,3.8776515
1.5034864,4.5189996,1.4597017,4.526855,10.782566,4.6633215,10.738781,4.671178
1.3842466,4.4311824,1.3428388,4.437192,10.01611,5.375895,9.974701,5.381904
1.1842012,4.286853,1.146281,4.2912393,9.0141735,6.490229,8.9762535,6.494615
0.7488429,4.0651174,0.7151825,4.0683236,7.961583,5.9657154,7.927922,5.968922
0.20993055,3.7836525,0.18095657,3.7863173,3.8484943,6.6533866,3.8195205,6.656052
-0.3669892,3.4566402,-0.39113522,3.4595118,0.57477844,7.041193,0.5506321,7.044065
-0.9366684,3.093319,-0.9560984,3.0971866,-1.3860857,7.1912937,-1.4055165,7.1951623
-1.488438,2.7110906,-1.503455,2.716712,-0.6484356,6.0023327,-0.6634517,6.007954
-2.0292816,2.327289,-2.0402977,2.3353205,-2.1182013,4.902512,-2.1292174,4.9105434
-2.571904,1.9586278,-2.579353,1.9695694,-2.3487437,4.3828006,-2.3561926,4.393742
-3.155168,1.6325313,-3.1594179,1.6466957,-3.152487,3.4809644,-3.156737,3.4951289
-3.7738118,1.3831072,-3.7750926,1.4006178,-2.7835412,3.566879,-2.7848227,3.58439
