IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
4.96,3.57,3.48,0.09,0.01,0.11,2.63,2.86,1.83,0.76,6.72,0.18,5.94,7.25,3.61,3.26,0.77,7.24,0.05,5.25,5.12,2.16,0.24,0.01,4.8,3.21,5.86,5.92,4.71,0.0,4.35,2.08,0.58,1.2,2.18,4.28,1.6,5.35
2.85,0.94,4.22,2.1,0.22,0.52,0.69,4.05,3.4,2.28,4.05,0.09,3.46,4.61,0.88,4.71,2.3,4.42,0.22,3.65,4.37,1.77,0.01,0.0,4.05,1.07,4.74,4.73,3.71,0.0,3.22,1.64,0.73,2.08,1.67,0.94,0.67,4.51
4.03,4.97,5.55,0.88,0.03,0.75,0.72,4.87,3.54,0.75,5.82,0.01,5.01,6.18,4.92,5.33,0.87,6.3,0.11,3.57,3.44,0.47,0.86,0.01,2.91,2.88,4.21,4.25,3.17,0.0,2.71,0.4,0.67,0.61,0.67,4.75,0.2,3.66
4.97,2.91,2.7,0.06,0.06,0.01,2.83,2.29,1.28,0.29,6.64,0.51,5.88,7.18,2.81,2.6,0.35,7.15,0.05,5.67,5.54,2.81,0.11,0.0,5.39,3.03,6.24,6.31,5.04,0.0,4.65,2.72,0.08,0.41,2.81,3.36,2.17,5.77
4.05,3.49,3.79,0.18,0.01,0.12,1.81,3.42,2.41,1.39,5.8,0.66,5.02,6.33,3.43,3.73,0.17,6.31,0.02,4.55,4.43,1.68,0.73,0.0,4.24,2.26,5.14,5.21,3.95,0.01,3.58,1.59,1.21,1.34,1.7,3.54,1.03,4.66
3.41,0.38,4.32,2.01,0.09,0.3,1.22,3.98,3.53,1.02,4.31,0.3,3.87,4.88,0.35,4.66,1.99,4.5,0.08,4.21,5.35,2.99,0.03,0.01,4.31,1.55,5.36,5.41,4.7,0.3,4.14,2.59,0.1,2.8,2.61,0.01,0.17,5.23
4.44,2.1,2.47,0.69,0.02,0.55,2.35,2.41,1.57,1.14,5.87,0.9,5.2,6.42,2.0,3.03,0.67,6.28,0.03,5.29,5.53,2.62,0.37,0.0,5.65,2.35,6.14,6.23,4.93,0.02,4.52,2.55,0.03,0.59,2.61,1.84,1.9,5.77
5.26,4.05,4.0,0.89,0.05,0.38,2.27,3.2,1.81,1.08,7.06,0.11,6.26,7.56,4.22,3.79,0.94,7.57,0.04,5.22,5.09,2.08,0.12,0.0,4.63,3.67,5.86,5.9,4.75,0.01,4.42,1.99,0.21,1.36,2.09,5.07,1.53,5.31
2.2,1.39,5.46,3.22,0.15,0.36,0.38,5.17,4.69,1.32,3.11,0.03,2.73,3.67,1.34,5.85,3.19,3.27,0.14,3.07,4.32,2.2,1.19,0.01,3.11,0.49,4.27,4.36,3.67,0.18,3.27,1.97,0.07,2.34,2.01,0.01,0.41,4.17
1.39,2.2,6.24,3.72,0.25,0.99,0.03,5.98,5.48,1.56,2.28,0.5,1.98,2.85,2.15,6.66,4.02,2.44,0.24,2.31,3.63,1.64,2.02,0.01,2.28,0.19,3.54,3.66,2.96,0.0,2.66,1.58,0.13,1.64,1.71,0.0,0.14,3.43
