Intrusions_Delamerian,Intrusions_Esk,Intrusions_HunterBowen,Intrusions_KanimblanTablelands,Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_Delamerian,MetamorphicFacies_Esk,MetamorphicFacies_HunterBowen,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Olarian,MetamorphicFacies_Tabberabberan,RockUnits_BlanchetownClay,RockUnits_BookpurnongFormation,RockUnits_CalivilFormation,RockUnits_CIP,RockUnits_CSP,RockUnits_CUR,RockUnits_DLO,RockUnits_DuddoLimestone,RockUnits_EttrickFormation,RockUnits_GAB,RockUnits_GeeraClay,RockUnits_LAO,RockUnits_LoxtonSands,RockUnits_MurrayBasinQuaternaryCover,RockUnits_NEO,RockUnits_PMIP,RockUnits_PTB,RockUnits_RenmarkGroup,RockUnits_THO,RockUnits_WDB,RockUnits_WinnamboolFormation
Null,Null,Null,Null,Null,Greenschist facies,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Greenschist facies,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Upper Greenschist,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Subgreenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Subgreenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Carne Dacite Member,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Subgreenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Greenschist facies,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Subgreenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Null,Subgreenschist facies,Null,Null,Null,Subgreenschist facies,Null,Subgreenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
Null,Null,Null,Null,Young Granodiorite,Upper Greenschist,Null,Null,Null,Subgreenschist facies,Null,Greenschist facies,Blanchetown Clay,Bookpurnong Formation,Calivil Formation,Monaro Volcanics - mafic lavas,Coastal deposits - dune facies,Braemar Iron Formation,Unassigned Devonian intrusions - granite,Duddo Limestone,Ettrick Formation,Ungrouped Mesozoic sedimentary rocks,Geera Clay,Gabo Island Granite,Loxton Sands,Alluvial floodplain deposits,Ungrouped Carboniferous units,Jingera Rock Syenite Complex - dyke swarm,Snapper Point Formation,Renmark Group,Louth Volcanics,Galore Hill Sandstone,Winnambool Formation
